objectsCount time allocatedMemory usedMemory commandType
191 2.4556e-05 16384 13752 ALLOCATE
192 2.4295e-05 16384 13824 ALLOCATE
193 2.5328e-05 16384 13896 ALLOCATE
194 2.7802e-05 16384 13968 ALLOCATE
195 2.5027e-05 16384 14040 ALLOCATE
196 2.4225e-05 16384 14112 ALLOCATE
197 3.4444e-05 16384 14184 ALLOCATE
198 3.234e-05 16384 14256 ALLOCATE
199 2.3504e-05 16384 14328 ALLOCATE
200 2.6399e-05 16384 14400 ALLOCATE
201 2.2382e-05 16384 14472 ALLOCATE
202 2.149e-05 16384 14544 ALLOCATE
203 2.13e-05 16384 14616 ALLOCATE
204 2.1189e-05 16384 14688 ALLOCATE
205 2.1319e-05 16384 14760 ALLOCATE
206 2.155e-05 16384 14832 ALLOCATE
207 2.152e-05 16384 14904 ALLOCATE
208 2.7502e-05 16384 14976 ALLOCATE
209 2.3273e-05 16384 15048 ALLOCATE
210 3.5136e-05 16384 15120 ALLOCATE
211 3.3833e-05 16384 15192 ALLOCATE
212 2.2773e-05 16384 15264 ALLOCATE
213 2.693e-05 16384 15336 ALLOCATE
214 2.2752e-05 16384 15408 ALLOCATE
215 3.6057e-05 16384 15480 ALLOCATE
216 2.4105e-05 16384 15552 ALLOCATE
217 2.2402e-05 16384 15624 ALLOCATE
218 3.1459e-05 16384 15696 ALLOCATE
219 3.0397e-05 16384 15768 ALLOCATE
220 2.9665e-05 16384 15840 ALLOCATE
221 3.8251e-05 16384 15912 ALLOCATE
222 2.72e-05 16384 15984 ALLOCATE
223 2.4125e-05 16384 16056 ALLOCATE
224 3.6087e-05 16384 16128 ALLOCATE
225 4.1067e-05 20480 16200 ALLOCATE
226 3.1709e-05 20480 16272 ALLOCATE
227 2.4365e-05 20480 16344 ALLOCATE
228 2.3154e-05 20480 16416 ALLOCATE
229 2.3163e-05 20480 16488 ALLOCATE
230 2.8553e-05 20480 16560 ALLOCATE
231 3.6208e-05 20480 16632 ALLOCATE
232 3.6027e-05 20480 16704 ALLOCATE
233 2.7983e-05 20480 16776 ALLOCATE
234 3.7139e-05 20480 16848 ALLOCATE
235 2.7982e-05 20480 16920 ALLOCATE
236 3.7079e-05 20480 16992 ALLOCATE
237 3.1178e-05 20480 17064 ALLOCATE
238 2.8002e-05 20480 17136 ALLOCATE
239 2.4094e-05 20480 17208 ALLOCATE
240 2.3975e-05 20480 17280 ALLOCATE
241 3.5096e-05 20480 17352 ALLOCATE
242 3.0076e-05 20480 17424 ALLOCATE
243 2.5358e-05 20480 17496 ALLOCATE
244 3.6127e-05 20480 17568 ALLOCATE
245 2.5708e-05 20480 17640 ALLOCATE
246 4.1898e-05 20480 17712 ALLOCATE
247 3.8351e-05 20480 17784 ALLOCATE
248 2.5688e-05 20480 17856 ALLOCATE
249 2.4926e-05 20480 17928 ALLOCATE
250 2.4836e-05 20480 18000 ALLOCATE
251 2.4877e-05 20480 18072 ALLOCATE
252 5.7597e-05 20480 18144 ALLOCATE
253 2.9656e-05 20480 18216 ALLOCATE
254 2.9645e-05 20480 18288 ALLOCATE
255 2.6349e-05 20480 18360 ALLOCATE
256 2.5247e-05 20480 18432 ALLOCATE
257 2.5317e-05 20480 18504 ALLOCATE
258 2.5578e-05 20480 18576 ALLOCATE
259 4.1548e-05 20480 18648 ALLOCATE
260 2.4195e-05 20480 18720 ALLOCATE
261 2.6269e-05 20480 18792 ALLOCATE
262 3.1318e-05 20480 18864 ALLOCATE
263 3.3512e-05 20480 18936 ALLOCATE
264 2.5838e-05 20480 19008 ALLOCATE
265 2.5017e-05 20480 19080 ALLOCATE
266 3.3512e-05 20480 19152 ALLOCATE
267 3.251e-05 20480 19224 ALLOCATE
268 2.5708e-05 20480 19296 ALLOCATE
269 2.5657e-05 20480 19368 ALLOCATE
270 2.5447e-05 20480 19440 ALLOCATE
271 2.4565e-05 20480 19512 ALLOCATE
272 3.2069e-05 20480 19584 ALLOCATE
273 6.3388e-05 20480 19656 ALLOCATE
274 3.1008e-05 20480 19728 ALLOCATE
275 2.7351e-05 20480 19800 ALLOCATE
276 3.5476e-05 20480 19872 ALLOCATE
277 3.5196e-05 20480 19944 ALLOCATE
278 2.5037e-05 20480 20016 ALLOCATE
279 2.7151e-05 20480 20088 ALLOCATE
280 2.5297e-05 20480 20160 ALLOCATE
281 3.4554e-05 24576 20232 ALLOCATE
282 3.2942e-05 24576 20304 ALLOCATE
283 4.4503e-05 24576 20376 ALLOCATE
284 2.9224e-05 24576 20448 ALLOCATE
285 2.9345e-05 24576 20520 ALLOCATE
286 2.9656e-05 24576 20592 ALLOCATE
287 3.6969e-05 24576 20664 ALLOCATE
288 3.0166e-05 24576 20736 ALLOCATE
289 3.4213e-05 24576 20808 ALLOCATE
290 3.5246e-05 24576 20880 ALLOCATE
291 3.9233e-05 24576 20952 ALLOCATE
292 3.199e-05 24576 21024 ALLOCATE
293 3.201e-05 24576 21096 ALLOCATE
294 3.3202e-05 24576 21168 ALLOCATE
295 3.3152e-05 24576 21240 ALLOCATE
296 4.4874e-05 24576 21312 ALLOCATE
297 3.4554e-05 24576 21384 ALLOCATE
298 3.3973e-05 24576 21456 ALLOCATE
299 3.4274e-05 24576 21528 ALLOCATE
300 4.5114e-05 24576 21600 ALLOCATE
301 3.4535e-05 24576 21672 ALLOCATE
302 3.4064e-05 24576 21744 ALLOCATE
303 3.4444e-05 24576 21816 ALLOCATE
304 3.4274e-05 24576 21888 ALLOCATE
305 3.4324e-05 24576 21960 ALLOCATE
306 3.3913e-05 24576 22032 ALLOCATE
307 4.2309e-05 24576 22104 ALLOCATE
308 3.6368e-05 24576 22176 ALLOCATE
309 6.9119e-05 24576 22248 ALLOCATE
310 4.5766e-05 24576 22320 ALLOCATE
311 3.6238e-05 24576 22392 ALLOCATE
312 8.4027e-05 24576 22464 ALLOCATE
313 4.4563e-05 24576 22536 ALLOCATE
314 4.6356e-05 24576 22608 ALLOCATE
315 3.4013e-05 24576 22680 ALLOCATE
316 3.6909e-05 24576 22752 ALLOCATE
317 3.6378e-05 24576 22824 ALLOCATE
318 3.5686e-05 24576 22896 ALLOCATE
319 3.5476e-05 24576 22968 ALLOCATE
320 3.5717e-05 24576 23040 ALLOCATE
321 3.6468e-05 24576 23112 ALLOCATE
322 4.3731e-05 24576 23184 ALLOCATE
323 3.6709e-05 24576 23256 ALLOCATE
324 3.9163e-05 24576 23328 ALLOCATE
325 3.4074e-05 24576 23400 ALLOCATE
326 3.7039e-05 24576 23472 ALLOCATE
327 3.6117e-05 24576 23544 ALLOCATE
328 4.7348e-05 24576 23616 ALLOCATE
329 3.6968e-05 24576 23688 ALLOCATE
330 3.7159e-05 24576 23760 ALLOCATE
331 3.6488e-05 24576 23832 ALLOCATE
332 3.6548e-05 24576 23904 ALLOCATE
333 3.7179e-05 24576 23976 ALLOCATE
334 3.6568e-05 24576 24048 ALLOCATE
335 4.8e-05 24576 24120 ALLOCATE
336 3.756e-05 24576 24192 ALLOCATE
337 5.5994e-05 28672 24264 ALLOCATE
338 5.1115e-05 28672 24336 ALLOCATE
339 4.8611e-05 28672 24408 ALLOCATE
340 3.8541e-05 28672 24480 ALLOCATE
341 3.801e-05 28672 24552 ALLOCATE
342 3.8572e-05 28672 24624 ALLOCATE
343 4.9321e-05 28672 24696 ALLOCATE
344 3.6418e-05 28672 24768 ALLOCATE
345 3.9002e-05 28672 24840 ALLOCATE
346 3.6578e-05 28672 24912 ALLOCATE
347 3.776e-05 28672 24984 ALLOCATE
348 4.7238e-05 28672 25056 ALLOCATE
349 4.6327e-05 28672 25128 ALLOCATE
350 3.9263e-05 28672 25200 ALLOCATE
351 3.8392e-05 28672 25272 ALLOCATE
352 3.8221e-05 28672 25344 ALLOCATE
353 3.8662e-05 28672 25416 ALLOCATE
354 3.7049e-05 28672 25488 ALLOCATE
355 6.4339e-05 28672 25560 ALLOCATE
356 3.9534e-05 28672 25632 ALLOCATE
357 3.759e-05 28672 25704 ALLOCATE
358 3.9574e-05 28672 25776 ALLOCATE
359 3.8933e-05 28672 25848 ALLOCATE
360 6.6343e-05 28672 25920 ALLOCATE
361 3.717e-05 28672 25992 ALLOCATE
362 4.1147e-05 28672 26064 ALLOCATE
363 4.1838e-05 28672 26136 ALLOCATE
364 4.1978e-05 28672 26208 ALLOCATE
365 3.6939e-05 28672 26280 ALLOCATE
366 3.9855e-05 28672 26352 ALLOCATE
367 3.7169e-05 28672 26424 ALLOCATE
368 4.0675e-05 28672 26496 ALLOCATE
369 3.8983e-05 28672 26568 ALLOCATE
370 3.7821e-05 28672 26640 ALLOCATE
371 4.7989e-05 28672 26712 ALLOCATE
372 3.769e-05 28672 26784 ALLOCATE
373 4.7739e-05 28672 26856 ALLOCATE
374 3.8061e-05 28672 26928 ALLOCATE
375 3.763e-05 28672 27000 ALLOCATE
376 3.756e-05 28672 27072 ALLOCATE
377 4.8871e-05 28672 27144 ALLOCATE
378 4.7579e-05 28672 27216 ALLOCATE
379 3.9113e-05 28672 27288 ALLOCATE
380 3.8652e-05 28672 27360 ALLOCATE
381 3.8341e-05 28672 27432 ALLOCATE
382 3.8202e-05 28672 27504 ALLOCATE
383 3.9073e-05 28672 27576 ALLOCATE
384 4.2319e-05 28672 27648 ALLOCATE
385 4.856e-05 28672 27720 ALLOCATE
386 3.8953e-05 28672 27792 ALLOCATE
387 3.9263e-05 28672 27864 ALLOCATE
388 3.8902e-05 28672 27936 ALLOCATE
389 4.2419e-05 28672 28008 ALLOCATE
390 4.9442e-05 28672 28080 ALLOCATE
391 4.8761e-05 28672 28152 ALLOCATE
392 3.9363e-05 28672 28224 ALLOCATE
393 4.4192e-05 32768 28296 ALLOCATE
394 6.8117e-05 32768 28368 ALLOCATE
395 4.291e-05 32768 28440 ALLOCATE
396 5.0524e-05 32768 28512 ALLOCATE
397 4.0144e-05 32768 28584 ALLOCATE
398 4.0235e-05 32768 28656 ALLOCATE
399 4.0625e-05 32768 28728 ALLOCATE
400 3.9995e-05 32768 28800 ALLOCATE
401 4.0345e-05 32768 28872 ALLOCATE
402 4.0566e-05 32768 28944 ALLOCATE
403 4.0275e-05 32768 29016 ALLOCATE
404 4.4343e-05 32768 29088 ALLOCATE
405 5.1586e-05 32768 29160 ALLOCATE
406 4.1077e-05 32768 29232 ALLOCATE
407 5.0484e-05 32768 29304 ALLOCATE
408 4.0695e-05 32768 29376 ALLOCATE
409 5.1806e-05 32768 29448 ALLOCATE
410 5.0784e-05 32768 29520 ALLOCATE
411 5.5944e-05 32768 29592 ALLOCATE
412 5.1516e-05 32768 29664 ALLOCATE
413 4.6417e-05 32768 29736 ALLOCATE
414 4.4643e-05 32768 29808 ALLOCATE
415 5.2197e-05 32768 29880 ALLOCATE
416 5.1846e-05 32768 29952 ALLOCATE
417 5.8619e-05 32768 30024 ALLOCATE
418 5.907e-05 32768 30096 ALLOCATE
419 5.1406e-05 32768 30168 ALLOCATE
420 4.4934e-05 32768 30240 ALLOCATE
421 5.3089e-05 32768 30312 ALLOCATE
422 4.2058e-05 32768 30384 ALLOCATE
423 4.1767e-05 32768 30456 ALLOCATE
424 5.3489e-05 32768 30528 ALLOCATE
425 5.4461e-05 32768 30600 ALLOCATE
426 6.985e-05 32768 30672 ALLOCATE
427 4.7098e-05 32768 30744 ALLOCATE
428 4.4914e-05 32768 30816 ALLOCATE
429 4.4513e-05 32768 30888 ALLOCATE
430 4.2319e-05 32768 30960 ALLOCATE
431 5.368e-05 32768 31032 ALLOCATE
432 5.388e-05 32768 31104 ALLOCATE
433 4.295e-05 32768 31176 ALLOCATE
434 5.3479e-05 32768 31248 ALLOCATE
435 5.5103e-05 32768 31320 ALLOCATE
436 5.2738e-05 32768 31392 ALLOCATE
437 4.9092e-05 32768 31464 ALLOCATE
438 4.6116e-05 32768 31536 ALLOCATE
439 5.5203e-05 32768 31608 ALLOCATE
440 4.6556e-05 32768 31680 ALLOCATE
441 4.6877e-05 32768 31752 ALLOCATE
442 4.6316e-05 32768 31824 ALLOCATE
443 4.5895e-05 32768 31896 ALLOCATE
444 4.5906e-05 32768 31968 ALLOCATE
445 4.6236e-05 32768 32040 ALLOCATE
446 4.6707e-05 32768 32112 ALLOCATE
447 5.4771e-05 32768 32184 ALLOCATE
448 4.3611e-05 32768 32256 ALLOCATE
449 6.0413e-05 36864 32328 ALLOCATE
450 5.5714e-05 36864 32400 ALLOCATE
451 4.7408e-05 36864 32472 ALLOCATE
452 4.6546e-05 36864 32544 ALLOCATE
453 4.5585e-05 36864 32616 ALLOCATE
454 4.7368e-05 36864 32688 ALLOCATE
455 4.4823e-05 36864 32760 ALLOCATE
456 4.4222e-05 36864 32832 ALLOCATE
457 5.6275e-05 36864 32904 ALLOCATE
458 4.818e-05 36864 32976 ALLOCATE
459 5.6235e-05 36864 33048 ALLOCATE
460 4.825e-05 36864 33120 ALLOCATE
461 4.6156e-05 36864 33192 ALLOCATE
462 5.6445e-05 36864 33264 ALLOCATE
463 4.5635e-05 36864 33336 ALLOCATE
464 0.000137456 36864 33408 ALLOCATE
465 4.5826e-05 36864 33480 ALLOCATE
466 5.7737e-05 36864 33552 ALLOCATE
467 5.6375e-05 36864 33624 ALLOCATE
468 4.5645e-05 36864 33696 ALLOCATE
469 4.6426e-05 36864 33768 ALLOCATE
470 5.9171e-05 36864 33840 ALLOCATE
471 5.0875e-05 36864 33912 ALLOCATE
472 4.6487e-05 36864 33984 ALLOCATE
473 5.8419e-05 36864 34056 ALLOCATE
474 4.6296e-05 36864 34128 ALLOCATE
475 5.8258e-05 36864 34200 ALLOCATE
476 4.6587e-05 36864 34272 ALLOCATE
477 4.6046e-05 36864 34344 ALLOCATE
478 4.6607e-05 36864 34416 ALLOCATE
479 5.0394e-05 36864 34488 ALLOCATE
480 4.6867e-05 36864 34560 ALLOCATE
481 7.6552e-05 36864 34632 ALLOCATE
482 4.6527e-05 36864 34704 ALLOCATE
483 4.6287e-05 36864 34776 ALLOCATE
484 4.7027e-05 36864 34848 ALLOCATE
485 5.0705e-05 36864 34920 ALLOCATE
486 5.1055e-05 36864 34992 ALLOCATE
487 4.81e-05 36864 35064 ALLOCATE
488 7.8556e-05 36864 35136 ALLOCATE
489 5.0534e-05 36864 35208 ALLOCATE
490 5.905e-05 36864 35280 ALLOCATE
491 4.7609e-05 36864 35352 ALLOCATE
492 4.7148e-05 36864 35424 ALLOCATE
493 5.9571e-05 36864 35496 ALLOCATE
494 4.7678e-05 36864 35568 ALLOCATE
495 4.8891e-05 36864 35640 ALLOCATE
496 5.1476e-05 36864 35712 ALLOCATE
497 4.9142e-05 36864 35784 ALLOCATE
498 4.8009e-05 36864 35856 ALLOCATE
